plot	type	id	true_y	Observer	measure
scatter_5	scatter	5	0.00000423	Yanchao	0.00000423488
scatter_5	scatter	6	0.00000483	Yanchao	0.00000483986
scatter_5	scatter	7	0.00000394	Yanchao	0.00000395018
scatter_5	scatter	8	0.00000473	Yanchao	0.0000047331
scatter_5	scatter	9	0.0000014	Yanchao	0.00000142349
scatter_5	scatter	10	0.0000025	Yanchao	0.00000252669
scatter_5	scatter	11	0.00000886	Yanchao	0.00000886121
bar_1	bar	A	0.0000967	Abiel	0.00009642
bar_1	bar	B	0.000042	Abiel	0.0000418
bar_1	bar	C	0.0000878	Abiel	0.0000871
bar_2	bar	A	0.0000411	Abiel	0.000041
bar_2	bar	B	0.0000532	Abiel	0.00005316
bar_2	bar	C	0.0000195	Abiel	0.0000195
bar_2	bar	D	0.0000488	Abiel	0.00004867
bar_3	bar	A	0.0000235	Abiel	0.0000236
bar_3	bar	B	0.0000327	Abiel	0.00003308
bar_3	bar	C	0.0000402	Abiel	0.00004074
bar_3	bar	D	0.0000164	Abiel	0.00001627
bar_3	bar	E	0.0000237	Abiel	0.00002372
bar_3	bar	F	0.0000404	Abiel	0.000040957
bar_4	bar	A	0.00000697	Abiel	0.000007019
bar_4	bar	B	0.0000145	Abiel	0.000014472
bar_4	bar	C	0.0000163	Abiel	0.000016335
bar_4	bar	D	0.0000235	Abiel	0.00002354
bar_5	bar	A	0.00000842	Abiel	0.0000084016
bar_5	bar	B	0.00000813	Abiel	0.0000081147
bar_5	bar	C	0.00000208	Abiel	0.00000209016
bar_5	bar	D	0.0000051	Abiel	0.000005061475
bar_5	bar	E	0.00000423	Abiel	0.0000042008
scatter_1	scatter	1	0.0000459	Abiel	0.000045959
scatter_1	scatter	2	0.0000646	Abiel	0.00006439
scatter_1	scatter	3	0.0000977	Abiel	0.000097474
scatter_1	scatter	4	0.000059	Abiel	0.0000590909
scatter_1	scatter	5	0.0000285	Abiel	0.000028535
scatter_1	scatter	6	0.0000641	Abiel	0.00006388
scatter_1	scatter	7	0.000104	Abiel	0.0001037878
scatter_1	scatter	8	0.0000421	Abiel	0.000041919191
scatter_1	scatter	9	0.0000908	Abiel	0.00009065656
scatter_1	scatter	10	0.0000415	Abiel	0.0000419191
scatter_1	scatter	11	0.0000298	Abiel	0.00002954545
scatter_2	scatter	1	0.0000305	Abiel	0.00003042
scatter_2	scatter	2	0.0000182	Abiel	0.000017983
scatter_2	scatter	3	0.0000275	Abiel	0.00002739495
scatter_2	scatter	4	0.00000912	Abiel	0.0000090756302
scatter_2	scatter	5	0.0000718	Abiel	0.0000715966
scatter_2	scatter	6	0.0000595	Abiel	0.00005932773
scatter_2	scatter	7	0.0000135	Abiel	0.0000134453
scatter_2	scatter	8	0.0000637	Abiel	0.0000636974
scatter_2	scatter	9	0.0000435	Abiel	0.0000433613
scatter_2	scatter	10	0.000035	Abiel	0.000034789
scatter_2	scatter	11	0.0000123	Abiel	0.0000122689
scatter_2	scatter	12	0.0000439	Abiel	0.0000438655
scatter_3	scatter	1	0.000027	Abiel	0.000026979
scatter_3	scatter	2	0.0000243	Abiel	0.00002406249
scatter_3	scatter	3	0.0000114	Abiel	0.00001156249
scatter_3	scatter	4	0.000011	Abiel	0.00001114583
scatter_3	scatter	5	0.000025	Abiel	0.0000249999
scatter_3	scatter	6	0.0000426	Abiel	0.000042499
scatter_3	scatter	7	0.0000184	Abiel	0.00001833
scatter_3	scatter	8	0.0000125	Abiel	0.0000127083
scatter_3	scatter	9	0.0000158	Abiel	0.0000157291
scatter_3	scatter	10	0.0000262	Abiel	0.0000261458
scatter_3	scatter	11	0.00000586	Abiel	0.00000593749
scatter_3	scatter	12	0.000037	Abiel	0.00003677
scatter_3	scatter	13	0.00000941	Abiel	0.0000095833
scatter_4	scatter	1	0.0000179	Abiel	0.000017848
scatter_4	scatter	2	0.0000202	Abiel	0.000020063
scatter_4	scatter	3	0.00000596	Abiel	0.0000059493
scatter_4	scatter	4	0.0000105	Abiel	0.000010443
scatter_4	scatter	5	0.0000257	Abiel	0.00002563291
scatter_4	scatter	6	0.000015	Abiel	0.0000149367
scatter_4	scatter	7	0.00000625	Abiel	0.00000613924
scatter_4	scatter	8	0.0000239	Abiel	0.000023924
scatter_4	scatter	9	0.00000792	Abiel	0.0000078481
scatter_4	scatter	10	0.0000252	Abiel	0.00002518987
